room_types,room_price,room_number
더블룸(전용욕실),36000,50378
 , ,50380
80평독채,520000,50382
일반,25000,50389
특실,30000,50389
일반,22000,50392
넷플릭스,22000,50392
싱글룸,20000,50404
트윈룸,25000,50404
 , ,50405
"디럭스 (울트라 최고 성능 2PC+게이밍 헤드셋+32인치 게이밍 모니터, 2인 스파, 18시 이후 대실 3시간,간편 조식 코너 운영)",25000,50406
"디럭스 VOD패키지(울트라 최고 성능 2PC,극장 동시 상영작,간편 조식 코너 운영)",25000,50406
프리미엄 (페이백),65000,50406
"프리미엄 (울트라 최고 성능 2PC+게이밍 헤드셋+32인치 게이밍 모니터, 2인 스파, 18시 이후 대실 3시간,간편 조식 코너 운영)",30000,50406
"프리미엄 VOD패키지(울트라 최고 성능 2PC,극장 동시 상영작,간편 조식 코너 운영)",30000,50406
프린세스 (페이백),75000,50406
"프리미엄 트윈 (울트라 최고 성능 2PC+게이밍 헤드셋+32인치 게이밍 모니터, 스파, 더블+싱글, 18시 이후 대실 3시간,간편 조식 코너 운영)",40000,50406
"프린세스 (울트라 최고 성능 2PC+게이밍 헤드셋+32인치 게이밍 모니터, 스파, 18시 이후 대실 3시간,간편 조식 코너 운영)",35000,50406
"프리미엄 (안마의자, 울트라 최고 성능 2PC+게이밍 헤드셋+32인치 게이밍 모니터, 2인 스파, 18시 이후 대실 3시간,간편 조식 코너 운영)",35000,50406
"VVIP (사우나, 울트라 최고 성능 2PC+게이밍 헤드셋+32인치 게이밍 모니터, 2인 스파, 18시 이후 대실 3시간,간편 조식 코너 운영)",35000,50406
"로얄스위트 멀티 패밀리룸 (울트라 최고 성능 4PC+2룸+거실+화장실+게이밍 헤드셋+ 게이밍 모니터,간편 조식 코너 운영)",80000,50406
 , ,50411
여성 6인 도미토리,30000,50412
남성 6인 도미토리,30000,50412
여성 4인 도미토리,36000,50412
남성 4인 도미토리,36000,50412
더블룸,90000,50412
일반,100000,50415
준특실,110000,50415
온돌,60000,50415
특실,120000,50415
스탠다드 미니,30000,50418
스탠다드(작은방),20000,50418
디럭스(큰방),25000,50418
"온돌(욕조,큰방)",40000,50418
"온돌(욕조,작은방)",35000,50418
"특실(사우나,욕조,패밀리)",55000,50418
 , ,50421
일반실(침대),30000,50425
온돌(일반),20000,50425
트윈객실,30000,50425
일반실(특) ,50000,50425
가족룸,90000,50425
일반실(침대) (페이백),,50425
디럭스(2인),40000,50426
트윈베드룸(싱글+싱글),92000,50426
킹+싱글(3인),110000,50426
킹+킹베킹(4인),130000,50426
일반,20000,50427
온돌,20000,50427
단체,20000,50427
일반(호수전망),40000,50428
일반(바다전망),50000,50428
스탠다드,20000,50431
한실,20000,50431
디럭스,30000,50431
패밀리룸,30000,50431
트윈,30000,50431
디럭스,70000,50433
트윈,80000,50433
스위트,120000,50433
온돌,80000,50433
스페셜(이벤트룸),170000,50433
일반,50000,50434
디럭스,55000,50434
"비즈니스 (스타일러, 더블+싱글 침대)",65000,50434
"스위트 (스타일러, 공기청정기, 더블+싱글 침대)",75000,50434
"로얄스위트 (공기청정기, 스타일러)",85000,50434
펜트하우스,220000,50434
로얄 펜트하우스(정원4인),330000,50434
BangCok 디럭스(조식포함/LG55인치/넷플릭스),25000,50438
디럭스 트윈,,50438
스탠다드,50000,50438
디럭스,20000,50438
프리미엄 오션(조식포함/돌체구스토 커피/LG55인치/넷플릭스),70000,50438
프리미엄(조식포함/삼성 에어드례서/세스코 공기청정기/LG55인치/넷플릭스),70000,50438
프리미엄 디럭스 트윈(더블+싱글),80000,50438
BangCok 3박 4일 패키지,120000,50438
프리미엄 스위트(더블+더블) ,160000,50438
콘도 미니엄(더블+더블),160000,50438
BangCok 5박 5일 패키지,200000,50438
일반,25000,50441
준특실B,40000,50441
준특실A,40000,50441
특실C,40000,50441
특실B,40000,50441
특실A,40000,50441
 , ,50442
 , ,50448
"스탠다드(조식불포함,엘레자 라텍스침대)",25000,50451
"디럭스(조식불포함,엘레자 라텍스침대)",20000,50451
"프리미엄(조식불포함,스타일러,엘레자 라텍스침대)",30000,50451
"프리미엄 트윈(조식불포함,스타일러,엘레자 라텍스침대)",65000,50451
"스위트(조식불포함,스타일러,엘레자 라텍스침대))",70000,50451
빠른입실 스탠다드,20000,50451
늦은퇴실 스탠다드(조식불포함),20000,50451
빠른입실 디럭스,20000,50451
"스위트 트윈(조식불포함,스타일러,엘레자 라텍스침대)",75000,50451
"스탠다드(조식포함,엘레자 라텍스침대)",20000,50451
"디럭스(조식포함,엘레자 라텍스침대)",20000,50451
"프리미엄(조식포함,스타일러,엘레자 라텍스침대)",25000,50451
